FRAUD,PPSN,SCHEME_CODE,LOCATION_CODE,PAY_TYPE,REG_DATE,START_DATE,BIRTH_DATE,AGE_YEARS,OCC_CODE,MEANS_FROM_EMP,DELAY,WEEKLY_RATE,PAID_TO_DATE,SEX,MARITAL_STATUS,NO_DEP,FUEL_AMOUNT,APPOINTMENT_STATUS,BOOK_NUMBER,CARER_ID,PHOTO_VERIFIED,OPEN_CREDIT_LINES,DRIVING_STATUS,FREE_TRAVEL,EMPLOYER_NO,IBAN,MED_ASSESSMENT,MED_CONDITION_SATISFIED,MORT_OUTSTANDING,PAY_LOCATION_CODE,PREF_LANG,PHONE_NO,PRIORITY_CLAIM
1,4584157Q,H1,Y3,Supplement,24/01/2009,01/02/2009,04/07/1993,23,M,6700,16,220,67980,Male,S,2,60,Due,42129,0,1,5,None,0,38514130,DBAB852462790731,2,0,0,Y3,1,3.54E+11,0
1,5111604R,F1,X1,Basic,03/07/2012,24/07/2012,20/03/1979,37,SS,6400,33,150,19350,Male,D,5,90,Up-to-Date,49896,0,1,7,Active,0,45183101,AACA010818716183,2,0,0,B1,1,3.54E+11,0
0,7861930RR,F1,M4,Supplement,21/06/2012,30/06/2012,21/09/1987,29,S,42100,15,90,11970,Female,S,3,70,Missed,47723,20865,1,2,Active,1,6706932,CBAB156909270627,2,0,0,M4,1,3.54E+11,0
1,0821916T,F1,M3,Basic,30/01/2001,04/02/2001,11/07/1961,55,M,9900,20,180,130320,Female,D,5,90,Up-to-Date,25719,0,0,6,None,1,72644761,ADDD423306770177,2,0,137978,M3,1,3.54E+11,0
1,3420226T,H1,M4,Basic,06/10/2007,21/10/2007,13/09/1945,71,M,2100,25,180,68040,Female,S,4,80,Due,46246,13291,1,7,Active,1,17162643,CAAA372971205515,3,0,0,M4,1,3.54E+11,0
1,6361326M,H1,S3,Supplement,25/11/2012,14/12/2012,24/08/1976,40,S,19200,32,80,8880,Male,S,5,90,Up-to-Date,39809,0,1,7,None,1,24269836,BBCA634821287521,4,0,98326,S3,1,3.54E+11,0
1,6694745X,H1,H1,Basic,15/04/2003,05/05/2003,10/02/1991,25,SS,7400,27,170,103360,Male,D,4,80,Missed,10488,0,0,8,Suspended,0,31048429,ABCA612177118249,4,0,0,H1,1,3.54E+11,1
0,0906435P,G1,D1,Basic,30/07/2011,01/08/2011,13/12/1969,47,M,6900,12,220,39820,Female,S,5,90,Due,28048,0,1,5,Active,0,31099152,BDBD321271619143,3,0,132682,D1,1,3.54E+11,0
1,4230862V,F1,F5,Basic,03/02/1997,04/02/1997,22/10/1988,28,M,3700,46,200,186400,Male,M,3,90,Up-to-Date,30572,0,1,2,None,0,5021004,DACA376611670858,4,0,0,F5,1,3.54E+11,0
0,6702202T,F1,X4,Basic,29/09/2001,16/10/2001,18/06/1952,64,M,24900,23,210,145110,Male,D,2,60,Up-to-Date,25280,29613,1,4,None,1,43363074,BDAB893638910590,3,0,0,X4,1,3.54E+11,0
0,9831826G,H1,U4,Basic,03/07/2003,09/07/2003,21/01/1986,30,M,26500,10,220,132000,Female,M,5,110,Up-to-Date,14640,0,0,7,Active,0,5209128,DBBA075305632461,3,0,0,U4,1,3.54E+11,1
1,7423372Y,H1,K3,Basic,31/05/2011,19/06/2011,17/04/1966,50,M,6600,26,170,31620,Female,S,3,70,Due,11590,43553,0,4,None,1,56972517,BDAC318359648248,1,0,145291,K3,1,3.54E+11,0
1,1694683A,H1,G4,Basic,04/03/2003,12/03/2003,01/10/1970,46,M,7800,32,160,98400,Male,D,4,80,Up-to-Date,13709,0,0,5,Active,0,92243406,ADBA581079286190,2,0,193332,G4,1,3.54E+11,0
1,9961249R,F1,T4,Basic,10/02/2010,18/02/2010,16/09/1978,38,SS,18300,27,150,38100,Female,S,3,70,Due,40960,0,1,2,Active,0,38531207,DBDA743168774363,1,0,0,T4,2,3.54E+11,0
0,7866476A,H1,D3,Supplement,04/07/2008,21/07/2008,20/03/1991,25,SS,30400,28,140,47320,Female,D,3,70,Due,15371,0,0,6,Active,0,6709391,ADAB919069047464,2,0,0,D3,1,3.54E+11,1
1,4359715L,F1,E5,Basic,23/08/2010,30/08/2010,04/04/1988,28,SS,14400,35,150,34350,Male,D,4,80,Missed,18502,0,0,3,None,1,59135245,ADAD236244584904,2,0,0,E5,1,3.54E+11,0
